Source,Target,values,link_colour,source_colour
Slipping,Lost Touch q4,180,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Slipping q1,23149,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Affluent q1,129,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Lost Touch q1,2503,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,New Customer q1,1242,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Top Tier q1,25,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Faithful q1,70,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Loyal Purchaser q1,5,"rgba(87, 117, 144,0.4)",#577590
Lost Touch,Lost Touch q4,35738,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Dropped Outside Timeframe,8940,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Faithful q4,122,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Loyal Purchaser q4,4,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Affluent q4,6,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,New Customer q4,990,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Dropped Outside Timeframe q1,15266,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Lost Touch q1,20483,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Faithful q1,28,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Loyal Purchaser q1,2,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Affluent q1,54,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,New Customer q1,676,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Top Tier q1,7,"rgba(39, 125, 161,0.4)",#277DA1
