Source,Target,values,link_colour,source_colour
Slipping,Lost Touch q4,180,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Slipping q1,23149,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Affluent q1,129,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Lost Touch q1,2503,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,New Customer q1,1242,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Top Tier q1,25,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Faithful q1,70,"rgba(87, 117, 144,0.4)",#577590
Slipping q4,Loyal Purchaser q1,5,"rgba(87, 117, 144,0.4)",#577590
Lost Touch,Lost Touch q4,35738,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Dropped Outside Timeframe,8940,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Faithful q4,122,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Loyal Purchaser q4,4,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,Affluent q4,6,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch,New Customer q4,990,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Dropped Outside Timeframe q1,15266,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Lost Touch q1,20483,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Faithful q1,28,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Loyal Purchaser q1,2,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Affluent q1,54,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,New Customer q1,676,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q4,Top Tier q1,7,"rgba(39, 125, 161,0.4)",#277DA1
Not previously purchased q1,New Customer q2,8977,"rgba(116,154,127,0.4)",#749A7F
Not previously purchased q1,Affluent q2,59,"rgba(116,154,127,0.4)",#749A7F
Not previously purchased q1,Top Tier q2,3,"rgba(116,154,127,0.4)",#749A7F
Not previously purchased q1,Faithful q2,3,"rgba(116,154,127,0.4)",#749A7F
Affluent q1,Top Tier q2,31,"rgba(249,199,79,0.4)",#F9C74F
Affluent q1,Faithful q2,250,"rgba(249,199,79,0.4)",#F9C74F
Affluent q1,Affluent q2,2907,"rgba(249,199,79,0.4)",#F9C74F
Affluent q1,Loyal Purchaser q2,32,"rgba(249,199,79,0.4)",#F9C74F
Affluent q1,Slipping q2,341,"rgba(249,199,79,0.4)",#F9C74F
Faithful q1,Slipping q2,497,"rgba(243,114,44,0.4)",#F3722C
Faithful q1,Affluent q2,83,"rgba(243,114,44,0.4)",#F3722C
Faithful q1,Faithful q2,837,"rgba(243,114,44,0.4)",#F3722C
Faithful q1,Top Tier q2,3,"rgba(243,114,44,0.4)",#F3722C
Lost Touch q1,New Customer q2,398,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q1,Lost Touch q2,13456,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q1,Drop off,9129,"rgba(39, 125, 161,0.4)",#277DA1
Lost Touch q1,Affluent q2,3,"rgba(39, 125, 161,0.4)",#277DA1
Loyal Purchaser q1,Loyal Purchaser q2,108,"rgba(144, 190, 109,0.4)",#90BE6D
Loyal Purchaser q1,Top Tier q2,30,"rgba(144, 190, 109,0.4)",#90BE6D
Loyal Purchaser q1,Slipping q2,151,"rgba(144, 190, 109,0.4)",#90BE6D
Loyal Purchaser q1,Affluent q2,37,"rgba(144, 190, 109,0.4)",#90BE6D
New Customer q1,Affluent q2,94,"rgba(249,65,68,0.4)",#F94144
New Customer q1,New Customer q2,34879,"rgba(249,65,68,0.4)",#F94144
New Customer q1,Slipping q2,10096,"rgba(249,65,68,0.4)",#F94144
New Customer q1,Faithful q2,48,"rgba(249,65,68,0.4)",#F94144
Slipping q1,Top Tier q2,3,"rgba(87, 117, 144,0.4)",#577590
Slipping q1,Slipping q2,34421,"rgba(87, 117, 144,0.4)",#577590
Slipping q1,Affluent q2,50,"rgba(87, 117, 144,0.4)",#577590
Slipping q1,New Customer q2,1695,"rgba(87, 117, 144,0.4)",#577590
Slipping q1,Faithful q2,13,"rgba(87, 117, 144,0.4)",#577590
Slipping q1,Lost Touch q2,6693,"rgba(87, 117, 144,0.4)",#577590
Top Tier q1,Top Tier q2,436,"rgba(88,176,214,0.4)",#58B0D6
Top Tier q1,Affluent q2,748,"rgba(88,176,214,0.4)",#58B0D6
Top Tier q1,Slipping q2,47,"rgba(88,176,214,0.4)",#58B0D6
